timestamp,date,hour,weekday,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,light,temperature,humidity,pir,co2,solar_voltage,fan_on,led_on,comfort_score,energy_risk,occupied
01/01/2024 0:00,01/01/2024,0,0,0,0,1,0,1,242,22.6,61.7,0,439,3.67,0,0,100,0,0
01/01/2024 0:10,01/01/2024,0,0,0,0,1,0,1,224,22,52,0,400,3.64,0,0,100,0,0
01/01/2024 0:20,01/01/2024,0,0,0,0,1,0,1,50,24.1,52.4,0,401,3.7,0,0,100,0,0
01/01/2024 0:30,01/01/2024,0,0,0,0,1,0,1,58,24.2,58.6,0,454,3.62,0,0,100,0,0
01/01/2024 0:40,01/01/2024,0,0,0,0,1,0,1,273,20,48.4,0,470,3.64,0,0,88,0,0
01/01/2024 0:50,01/01/2024,0,0,0,0,1,0,1,224,22.1,54.4,0,458,3.7,0,0,100,0,0
01/01/2024 1:00,01/01/2024,1,0,0,0.2588,0.9659,0,1,50,22.7,58.5,0,400,3.64,0,0,100,0,0
01/01/2024 1:10,01/01/2024,1,0,0,0.2588,0.9659,0,1,85,19.5,66.4,0,400,3.66,0,0,62,0,0
01/01/2024 1:20,01/01/2024,1,0,0,0.2588,0.9659,0,1,121,23.1,55,0,454,3.77,0,0,100,0,0
01/01/2024 1:30,01/01/2024,1,0,0,0.2588,0.9659,0,1,50,20.6,62.1,0,415,3.71,0,0,88,0,0
01/01/2024 1:40,01/01/2024,1,0,0,0.2588,0.9659,0,1,80,23.6,50.3,0,491,3.68,0,0,100,0,0
01/01/2024 1:50,01/01/2024,1,0,0,0.2588,0.9659,0,1,182,20.8,46.3,0,474,3.7,0,0,88,0,0
01/01/2024 2:00,01/01/2024,2,0,0,0.5,0.866,0,1,50,22.4,55.2,0,400,3.63,0,0,100,0,0
01/01/2024 2:10,01/01/2024,2,0,0,0.5,0.866,0,1,50,21.1,58.5,0,453,3.66,0,0,88,0,0
01/01/2024 2:20,01/01/2024,2,0,0,0.5,0.866,0,1,272,23.7,52.2,0,400,3.67,0,0,100,0,0
01/01/2024 2:30,01/01/2024,2,0,0,0.5,0.866,0,1,50,22.3,55.8,0,557,3.69,0,0,100,0,0
01/01/2024 2:40,01/01/2024,2,0,0,0.5,0.866,0,1,175,24.5,60.3,0,479,3.7,0,0,100,0,0
01/01/2024 2:50,01/01/2024,2,0,0,0.5,0.866,0,1,120,22.9,60.8,0,408,3.76,0,0,100,0,0
01/01/2024 3:00,01/01/2024,3,0,0,0.7071,0.7071,0,1,153,23,53.8,0,506,3.68,0,0,100,0,0
